"Series Key",ELEC.SALES.MD-RES.M,"Series Key",ELEC.SALES.MD-COM.M,"Series Key",ELEC.SALES.MD-IND.M
"Series Name","Retail sales of electricity : Maryland : residential : monthly","Series Name","Retail sales of electricity : Maryland : commercial : monthly","Series Name","Retail sales of electricity : Maryland : industrial : monthly"
Units,"million kilowatthours",Units,"million kilowatthours",Units,"million kilowatthours"
Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202102,"End Date",202102,"End Date",202102
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200908,2753.21665,200908,2910.10423,200908,468.77913
200907,2466.3255,200907,2808.56288,200907,454.35003
200906,2051.56062,200906,2637.42035,200906,440.68193
200905,1711.72233,200905,2418.85466,200905,484.20138
200904,1840.49897,200904,2261.23305,200904,445.21939
200903,2306.08865,200903,2371.66301,200903,453.32261
200902,2512.27409,200902,2248.13905,200902,392.77228
200901,3036.63885,200901,2645.66623,200901,404.79563
200812,2539.70999,200812,2543.50953,200812,413.93511
200811,2021.14475,200811,2338.13158,200811,421.31903
200810,1783.69411,200810,2374.79347,200810,475.5131
200809,2105.33766,200809,2612.14548,200809,463.71219
200808,2510.14374,200808,2734.05351,200808,497.62084
200807,2749.91668,200807,2973.25434,200807,524.92451
200806,2281.07524,200806,2826.13601,200806,505.31888
200805,1641.51001,200805,2360.51479,200805,515.50874
200804,1782.62904,200804,2170.91215,200804,454.21397
200803,2332.49468,200803,2276.39605,200803,470.56669
200802,2645.21673,200802,2296.89629,200802,453.47735
200801,2751.38239,200801,2496.2498,200801,453.83259
200712,2547.52026,200712,2544.51989,200712,509.27332
200711,1868.7196,200711,2389.91054,200711,512.8364
200710,1853.73107,200710,2601.81497,200710,514.09383
200709,2277.94516,200709,2641.8688,200709,494.97743
200708,2895.31779,200708,2950.56166,200708,547.77055
200707,2749.80838,200707,2822.84223,200707,522.52282
200706,2294.24527,200706,2732.01174,200706,509.0763
200705,1805.56307,200705,2532.30341,200705,500.89446
200704,1943.69226,200704,2287.88899,200704,477.0375
200703,2389.15753,200703,2334.04664,200703,472.92256
200702,2947.5528,200702,2383.0535,200702,455.29374
200701,2621.54883,200701,2470.33663,200701,463.6591
200612,2418.99838,200612,2395.05734,200612,493.56107
200611,1918.90009,200611,2310.51819,200611,499.71986
200610,1792.74443,200610,2440.68202,200610,495.99308
200609,1980.99269,200609,2395.77511,200609,511.5331
200608,2927.52285,200608,3059.26446,200608,457.63851
200607,2903.02616,200607,2982.47884,200607,464.42034
200606,2181.70504,200606,2694.32341,200606,563.58354
200605,1697.24991,200605,2430.18825,200605,552.02799
200604,1737.7391,200604,2160.42418,200604,501.68414
200603,2353.28439,200603,2323.30629,200603,500.79672
200602,2453.86352,200602,2263.88013,200602,520.05787
200601,2539.35944,200601,2273.13178,200601,496.01378
200512,2739.40656,200512,1522.81398,200512,1752.35655
200511,1970.82719,200511,1292.91434,200511,1714.70058
200510,1844.6757,200510,1417.63441,200510,1696.334
200509,2427.63402,200509,1593.18231,200509,1764.22724
200508,3002.58886,200508,1843.75203,200508,1945.06157
200507,2913.33226,200507,1834.17308,200507,1996.27969
200506,2402.26016,200506,1622.95493,200506,1884.10277
200505,1673.04778,200505,1355.36452,200505,1741.77486
200504,1731.21075,200504,1264.20993,200504,1697.51251
200503,2438.97155,200503,1423.9052,200503,1787.62386
200502,2463.76884,200502,1302.35971,200502,1646.14979
200501,2831.92133,200501,1458.50654,200501,1890.51458
200412,2575.49487,200412,1409.27512,200412,1667.59574
200411,1876.61962,200411,1342.74488,200411,1491.87598
200410,1881.29959,200410,1400.18866,200410,1584.18153
200409,2227.46972,200409,1393.01348,200409,1832.49825
200408,2599.34654,200408,1515.89148,200408,1969.44607
200407,2506.79269,200407,1525.95795,200407,2020.34481
200406,2275.27132,200406,1560.23948,200406,1691.69467
200405,1943.15944,200405,1546.0513,200405,1606.42135
200404,2033.58998,200404,1428.25597,200404,1776.79739
200403,2280.65025,200403,1367.14146,200403,1829.30985
200402,2799.45838,200402,1302.21059,200402,1825.64139
200401,2952.82559,200401,1473.1646,200401,1898.76498
200312,2514.25729,200312,1480.52553,200312,2370.52887
200311,1734.47659,200311,1258.14117,200311,2242.39122
200310,1621.2571,200310,1336.51947,200310,2341.1464
200309,2285.64295,200309,1434.0929,200309,2541.25542
200308,2668.64325,200308,1649.54051,200308,2603.53747
200307,2558.61203,200307,1606.13618,200307,2592.2086
200306,1793.06659,200306,1427.27189,200306,2379.06402
200305,1643.12509,200305,1291.24384,200305,2367.33754
200304,1879.19304,200304,1272.8827,200304,2270.88514
200303,2431.01649,200303,1358.93764,200303,2304.77948
200302,2703.95222,200302,1341.35432,200302,2241.97951
200301,2838.03136,200301,1493.70086,200301,920.41233
200212,2578.38744,200212,1535.78876,200212,2846.33747
200211,1832.52979,200211,1359.33649,200211,1894.14059
200210,1706.03407,200210,1411.05173,200210,2063.66442
200209,2110.43352,200209,1532.52438,200209,2112.89499
200208,2813.18023,200208,1761.99407,200208,2247.75641
200207,2667.49435,200207,1775.26559,200207,2208.73515
200206,2211.40859,200206,2103.47127,200206,1262.28596
200205,1601.12503,200205,1901.81879,200205,1196.80016
200204,1728.78213,200204,1807.79111,200204,1224.03443
200203,1975.96395,200203,2141.13066,200203,1350.87217
200202,2024.0805,200202,1744.13052,200202,1193.89972
200201,2239.63342,200201,1969.98564,200201,1273.08552
200112,1981.65971,200112,2113.89487,200112,839.8174
200111,1638.01339,200111,2027.18883,200111,831.16183
200110,1583.28845,200110,2125.44342,200110,817.94156
200109,1823.7592,200109,2309.77001,200109,861.92238
200108,2487.60868,200108,2595.60637,200108,927.50414
200107,2224.80179,200107,2396.59772,200107,868.22107
200106,2061.97273,200106,2186.22508,200106,895.45984
200105,1581.56714,200105,2149.44299,200105,917.22066
200104,1795.39405,200104,1908.75753,200104,761.33597
200103,2119.29474,200103,2266.65672,200103,887.76999
200102,2214.30927,200102,1910.54677,200102,759.4911
200101,2782.42686,200101,2253.4837,200101,808.87806
